sample_name	cruise	cup	mid_date	year	month	meteor_season	oceano_season	duration	tot_mass_flux	total_flux_d	org_c_flux	POC_flux_d	prop_POC	caco3_flux	PIC_flux_d	prop_PIC	opal_flux	opal_flux_d	prop_opal	nitro_flux	nitro_flux_d	prop_nitro	anomaly_tot	anomaly_POC_flux_d	anomaly_PIC_flux_d	anomaly_opal_flux_d	anomaly_nitro_flux_d	anomaly_prop_POC	anomaly_prop_PIC	anomaly_prop_opal	anomaly_prop_nitro	anomaly_any_flux	bbp_anomaly	bbp_anomaly_count	bbp_anomaly_rollover	bbp_burst_mean	bbp_burst_median	bbp_burst_sd	bbp_burst_cv	bbp_burst_max	bbp_burst_n_obs	auc_total	auc_mean	auc_median	auc_sd	auc_cv	auc_max	train	seascape_class	seascape_prob	n_classes	mid_date_num
GMT3_18S_2A_S52	GMT3	2	12/22/2022	2022	12	winter	sep-jan	14	17.714	1.265285714	1.002	0.071571429	0.056565428	10.404	0.743142857	0.587332054	1.745	0.124642857	0.098509653	0.161	0.0115	0.009088856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000135802	0.000120672	7.41e-05	0.695600154	0.000918064	224	0.00183569	0.000262241	0.000257121	2.83e-05	0.107799262	0.000302685	Test	15	0.941106989270165	1	19348
GMT3_18S_2B_S53	GMT3	2	12/22/2022	2022	12	winter	sep-jan	14	17.714	1.265285714	1.002	0.071571429	0.056565428	10.404	0.743142857	0.587332054	1.745	0.124642857	0.098509653	0.161	0.0115	0.009088856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000135802	0.000120672	7.41e-05	0.695600154	0.000918064	224	0.00183569	0.000262241	0.000257121	2.83e-05	0.107799262	0.000302685	Test	15	0.941106989270165	1	19348
GMT3_18S_2C_S54	GMT3	2	12/22/2022	2022	12	winter	sep-jan	14	17.714	1.265285714	1.002	0.071571429	0.056565428	10.404	0.743142857	0.587332054	1.745	0.124642857	0.098509653	0.161	0.0115	0.009088856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000135802	0.000120672	7.41e-05	0.695600154	0.000918064	224	0.00183569	0.000262241	0.000257121	2.83e-05	0.107799262	0.000302685	Test	15	0.941106989270165	1	19348
GMT3_18S_3A_S55	GMT3	3	1/5/2023	2023	1	winter	sep-jan	14	369.143	26.36735714	15.198	1.085571429	0.041171037	72.68	5.191428571	0.196888469	52.225	3.730357143	0.141476338	2.159	0.154214286	0.005848682	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000177127	0.000135196	0.000188997	1.480189915	0.001973499	224	0.002585139	0.000323142	0.000357634	0.000113595	0.351533427	0.000441318	Test	15	0.900818135057177	2	19362
GMT3_18S_3B_S56	GMT3	3	1/5/2023	2023	1	winter	sep-jan	14	369.143	26.36735714	15.198	1.085571429	0.041171037	72.68	5.191428571	0.196888469	52.225	3.730357143	0.141476338	2.159	0.154214286	0.005848682	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000177127	0.000135196	0.000188997	1.480189915	0.001973499	224	0.002585139	0.000323142	0.000357634	0.000113595	0.351533427	0.000441318	Test	15	0.900818135057177	2	19362
GMT3_18S_3C_S57	GMT3	3	1/5/2023	2023	1	winter	sep-jan	14	369.143	26.36735714	15.198	1.085571429	0.041171037	72.68	5.191428571	0.196888469	52.225	3.730357143	0.141476338	2.159	0.154214286	0.005848682	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000177127	0.000135196	0.000188997	1.480189915	0.001973499	224	0.002585139	0.000323142	0.000357634	0.000113595	0.351533427	0.000441318	Train	15	0.900818135057177	2	19362
GMT3_18S_4A_S58	GMT3	4	1/19/2023	2023	1	winter	sep-jan	14	495.429	35.38778571	16.196	1.156857143	0.03269086	64.349	4.596357143	0.129885412	36.89	2.635	0.07446072	2.426	0.173285714	0.004896766	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000219093	0.000184992	0.000202083	1.165444291	0.002342819	224	0.002939127	0.000419875	0.000417328	0.000115741	0.275656286	0.000571287	Test	15	0.972226401170095	1	19376
GMT3_18S_4B_S59	GMT3	4	1/19/2023	2023	1	winter	sep-jan	14	495.429	35.38778571	16.196	1.156857143	0.03269086	64.349	4.596357143	0.129885412	36.89	2.635	0.07446072	2.426	0.173285714	0.004896766	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000219093	0.000184992	0.000202083	1.165444291	0.002342819	224	0.002939127	0.000419875	0.000417328	0.000115741	0.275656286	0.000571287	Test	15	0.972226401170095	1	19376
GMT3_18S_4C_S60	GMT3	4	1/19/2023	2023	1	winter	sep-jan	14	495.429	35.38778571	16.196	1.156857143	0.03269086	64.349	4.596357143	0.129885412	36.89	2.635	0.07446072	2.426	0.173285714	0.004896766	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	0.000219093	0.000184992	0.000202083	1.165444291	0.002342819	224	0.002939127	0.000419875	0.000417328	0.000115741	0.275656286	0.000571287	Test	15	0.972226401170095	1	19376
GMT3_18S_5A_S61	GMT3	5	2/2/2023	2023	2	winter	feb-apr	14	461.714	32.97957143	11.443	0.817357143	0.024783741	45.947	3.281928571	0.099513985	34.381	2.455785714	0.074463846	1.636	0.116857143	0.003543319	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1	FALSE	0.000395676	0.000248793	0.000459014	1.404637501	0.005512127	224	0.005184348	0.000740621	0.000608731	0.000572297	0.772725173	0.001579397	Test	15	0.99720603511447	1	19390
